split,k,weights,metric,cv_accuracy,test_accuracy
split_1,1,uniform,euclidean,0.9834368530020704,
split_1,1,distance,euclidean,0.9834368530020704,
split_1,2,uniform,euclidean,0.9826086956521739,
split_1,2,distance,euclidean,0.9834368530020704,
split_1,3,uniform,euclidean,0.9830227743271222,
split_1,3,distance,euclidean,0.9838509316770185,
split_1,4,uniform,euclidean,0.9826086956521739,
split_1,4,distance,euclidean,0.9830227743271222,
split_1,5,uniform,euclidean,0.9826086956521739,
split_1,5,distance,euclidean,0.9834368530020704,
split_1,6,uniform,euclidean,0.9830227743271222,
split_1,6,distance,euclidean,0.9834368530020704,
split_1,7,uniform,euclidean,0.9821946169772257,
split_1,7,distance,euclidean,0.9830227743271222,
split_1,8,uniform,euclidean,0.9817805383022774,
split_1,8,distance,euclidean,0.9821946169772257,
split_1,9,uniform,euclidean,0.9805383022774327,
split_1,9,distance,euclidean,0.9805383022774327,
split_1,10,uniform,euclidean,0.9809523809523809,
split_1,10,distance,euclidean,0.9809523809523809,
split_1,1,uniform,manhattan,0.9842650103519669,1.0
split_1,1,distance,manhattan,0.9842650103519669,
split_1,2,uniform,manhattan,0.9826086956521739,
split_1,2,distance,manhattan,0.9842650103519669,
split_1,3,uniform,manhattan,0.9830227743271222,
split_1,3,distance,manhattan,0.9834368530020704,
split_1,4,uniform,manhattan,0.9821946169772257,
split_1,4,distance,manhattan,0.9830227743271222,
split_1,5,uniform,manhattan,0.9813664596273292,
split_1,5,distance,manhattan,0.9821946169772257,
split_1,6,uniform,manhattan,0.9809523809523809,
split_1,6,distance,manhattan,0.9817805383022774,
split_1,7,uniform,manhattan,0.9805383022774327,
split_1,7,distance,manhattan,0.9813664596273292,
split_1,8,uniform,manhattan,0.9801242236024845,
split_1,8,distance,manhattan,0.9813664596273292,
split_1,9,uniform,manhattan,0.979296066252588,
split_1,9,distance,manhattan,0.9801242236024845,
split_1,10,uniform,manhattan,0.9788819875776397,
split_1,10,distance,manhattan,0.9805383022774327,
split_2,1,uniform,euclidean,0.9824810606060606,1.0
split_2,1,distance,euclidean,0.9824810606060606,
split_2,2,uniform,euclidean,0.9786931818181818,
split_2,2,distance,euclidean,0.9824810606060606,
split_2,3,uniform,euclidean,0.9777462121212123,
split_2,3,distance,euclidean,0.9796401515151515,
split_2,4,uniform,euclidean,0.9777462121212123,
split_2,4,distance,euclidean,0.9801136363636364,
split_2,5,uniform,euclidean,0.9782196969696969,
split_2,5,distance,euclidean,0.9796401515151514,
split_2,6,uniform,euclidean,0.9786931818181818,
split_2,6,distance,euclidean,0.9796401515151514,
split_2,7,uniform,euclidean,0.9772727272727274,
split_2,7,distance,euclidean,0.9782196969696969,
split_2,8,uniform,euclidean,0.9763257575757577,
split_2,8,distance,euclidean,0.9786931818181818,
split_2,9,uniform,euclidean,0.9758522727272728,
split_2,9,distance,euclidean,0.9772727272727274,
split_2,10,uniform,euclidean,0.9767992424242425,
split_2,10,distance,euclidean,0.9782196969696969,
split_2,1,uniform,manhattan,0.9820075757575758,
split_2,1,distance,manhattan,0.9820075757575758,
split_2,2,uniform,manhattan,0.9791666666666666,
split_2,2,distance,manhattan,0.9820075757575758,
split_2,3,uniform,manhattan,0.9772727272727274,
split_2,3,distance,manhattan,0.9791666666666666,
split_2,4,uniform,manhattan,0.9767992424242425,
split_2,4,distance,manhattan,0.9786931818181818,
split_2,5,uniform,manhattan,0.9772727272727274,
split_2,5,distance,manhattan,0.9782196969696969,
split_2,6,uniform,manhattan,0.975378787878788,
split_2,6,distance,manhattan,0.977746212121212,
split_2,7,uniform,manhattan,0.9763257575757577,
split_2,7,distance,manhattan,0.9767992424242425,
split_2,8,uniform,manhattan,0.9749053030303031,
split_2,8,distance,manhattan,0.9758522727272728,
split_2,9,uniform,manhattan,0.9744318181818182,
split_2,9,distance,manhattan,0.975378787878788,
split_2,10,uniform,manhattan,0.9744318181818182,
split_2,10,distance,manhattan,0.975378787878788,
split_3,1,uniform,euclidean,0.9856420619492677,1.0
split_3,1,distance,euclidean,0.9856420619492677,
split_3,2,uniform,euclidean,0.9806705984426652,
split_3,2,distance,euclidean,0.9856420619492677,
split_3,3,uniform,euclidean,0.9812215596044794,
split_3,3,distance,euclidean,0.9812215596044794,
split_3,4,uniform,euclidean,0.9795631848117763,
split_3,4,distance,euclidean,0.9823253123638613,
split_3,5,uniform,euclidean,0.9806669375711582,
split_3,5,distance,euclidean,0.9812188139508491,
split_3,6,uniform,euclidean,0.9806669375711582,
split_3,6,distance,euclidean,0.9806669375711582,
split_3,7,uniform,euclidean,0.9795622695938996,
split_3,7,distance,euclidean,0.9806669375711582,
split_3,8,uniform,euclidean,0.9756991349360629,
split_3,8,distance,euclidean,0.9801141459735905,
split_3,9,uniform,euclidean,0.974595382176681,
split_3,9,distance,euclidean,0.9795622695938996,
split_3,10,uniform,euclidean,0.9740425905791134,
split_3,10,distance,euclidean,0.9779057252369499,
split_3,1,uniform,manhattan,0.9845373939720089,
split_3,1,distance,manhattan,0.9845373939720089,
split_3,2,uniform,manhattan,0.9801168916272207,
split_3,2,distance,manhattan,0.9845373939720089,
split_3,3,uniform,manhattan,0.9812206443866026,
split_3,3,distance,manhattan,0.9817734359841704,
split_3,4,uniform,manhattan,0.9795631848117763,
split_3,4,distance,manhattan,0.9817725207662935,
split_3,5,uniform,manhattan,0.9806669375711582,
split_3,5,distance,manhattan,0.9806669375711582,
split_3,6,uniform,manhattan,0.9801141459735905,
split_3,6,distance,manhattan,0.9817716055484169,
split_3,7,uniform,manhattan,0.9773538488572591,
split_3,7,distance,manhattan,0.978457601616641,
split_3,8,uniform,manhattan,0.9768028876954448,
split_3,8,distance,manhattan,0.9795622695938996,
split_3,9,uniform,manhattan,0.974595382176681,
split_3,9,distance,manhattan,0.9795622695938996,
split_3,10,uniform,manhattan,0.974595382176681,
split_3,10,distance,manhattan,0.9784585168345176,
